"numero_dpe","date_etablissement_dpe","etiquette_dpe","type_batiment","periode_construction","surface_habitable_logement","classe_inertie_batiment","adresse_ban","code_postal_ban","code_insee_ban","code_region_ban","code_departement_ban","coordonnee_cartographique_x_ban","coordonnee_cartographique_y_ban","deperditions_enveloppe","qualite_isolation_enveloppe","conso_5_usages_ep","conso_5_usages_par_m2_ep","type_energie_n1","cout_total_5_usages","type_energie_principale_chauffage","_score"
"2115E0005229S","2021-07-01","D","maison",NA,205,NA,"Route de Ydes Bourg 15240 Saignes","15240","15169","84","15",658872.47,6470647.65,453.7,"bonne",51063.1,249,"Bois – Bûches",2904,"Bois – Bûches",NA
"2115E0022336R","2021-07-01","E","maison",NA,200,NA,"1 Rue de la Coste 15300 Murat","15300","15138","84","15",689120.36,6445543.74,933.7,"insuffisante",62587.8,312.9,"Bois – Bûches",3410,"Bois – Bûches",NA
"2115E0031649W","2021-07-01","G","appartement",NA,22,NA,"Super Lioran 15300 Laveissière","15300","15101","84","15",680491.5,6442630.24,76.2,"insuffisante",15204.1,691,"Électricité",1564,"Électricité",NA
"2115E0023030J","2021-07-01","C","maison",NA,220,NA,"Les Chazes Hautes 15100 Coren","15100","15055","84","15",709237.41,6444290.86,259.6,"très bonne",32897.8,149.5,"Fioul domestique",2530,"Fioul domestique",NA
"2115E0001782D","2021-06-30","G","maison",NA,125,NA,"3 Route de Beynac 15300 La Chapelle-d'Alagnon","15300","15041","84","15",694244.22,6444260,600,"insuffisante",67948,543.5,"Fioul domestique",6230,"Fioul domestique",NA
"2115E0005275M","2021-07-01","E","appartement",NA,74,NA,"31 Rue des Forgerons 15000 Aurillac","15000","15014","84","15",656275.73,6425696.73,140.2,"insuffisante",22254.4,300.7,"Électricité",2032,"Électricité",NA
"2115E0023056J","2021-06-30","E","appartement",NA,79.1,NA,"2 Rue d’Olonne sur Mer 15300 Murat","15300","15138","84","15",689120.49,6445482.54,125.1,"moyenne",21949,277.6,"Électricité",2005,"Électricité",NA
"2115E0001942H","2021-06-30","E","maison",NA,110,NA,"5 Place Jean Moulin 15600 Maurs","15600","15122","84","15",636334.48,6401023.47,364.6,"insuffisante",35808.7,325.5,"Électricité",3518,"Électricité",NA
"2115E1027875G","2021-06-30","F","maison",NA,122,"Légère","31 Avenue du General Milhaud 15130 Arpajon-sur-Cère","15130","15012","84","15",657071.24,6422847.91,611.4,"insuffisante",49072,402.2,"Gaz naturel",3519,"Gaz naturel",NA
"2115E1026698Z","2021-07-01","D","maison",NA,38.8,"Moyenne","21 Rue Figeagaise-Basse 15600 Maurs","15600","15122","84","15",636089.72,6401444.19,66.3,"très bonne",7942.7,204.4,"Électricité",646,"Électricité",NA
"2115E1027882N","2021-07-06","G","maison",NA,224,"Légère","14 Rue Blaise Pascal 15210 Ydes","15210","15265","84","15",655962.4,6472422.31,1196.2,"insuffisante",103611.7,462.5,"Fioul domestique",9329,"Fioul domestique",NA
"2115E1040379E","2021-07-12","G","maison",NA,215,"Légère","La Chevre Blanche 15190 Condat","15190","15054","84","15",681961.81,6470671.04,1301.2,"insuffisante",116053.4,539.7,"Fioul domestique",8492,"Fioul domestique",NA
"2115E0032521K","2021-07-08","E","appartement",NA,69,NA,"La Montagne Est 15310 Saint-Cernin","15310","15175","84","15",654088.54,6438682.36,130,"bonne",22126.4,320.6,"Électricité",2027,"Électricité",NA
"2115E0109415W","2021-07-27","E","maison",NA,90,NA,"Le Bourg 15800 Raulhac","15800","15159","84","15",672814.39,6422295.54,218.1,"bonne",26948.1,299.4,"Électricité",2265,"Électricité",NA
"2115E0104423W","2021-07-26","D","appartement",NA,32.5,"Légère","40 Avenue du General Milhaud 15000 Aurillac","15000","15014","84","15",655577.37,6424953.95,33.5,"bonne",6414.4,197,"Électricité",770.7,"Électricité",NA
"2115E0128043I","2021-08-01","D","maison",NA,65,"Moyenne","Le Bouteirou 15500 Massiac","15500","15119","84","15",714712.92,6460484.58,109.9,"très bonne",12045.2,185.3,"Électricité",1804,"Électricité",NA
